username,mode,totalTime,totalCasual,totalSerious,totalNeutral,numberSessions,numberSurveys,numberLikedPuzzles,downloads
Admin 1,admin,166199,15,6,4,10,0,1,0
user,mixed,11351141,216,1368,60,342,1,17,0
Serious User,serious,53600,8,97,0,5,0,1,0
Casual User,casual,21217,7,0,0,1,0,0,0
