Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
11064,11064,e1_kf,7,failure,insight,correct,,
11064,89257,e1_kf,8,failure,insight,correct,,
89257,33168,e1_kf,9,failure,insight,correct,,
33168,33168,e1_kf,10,failure,insight,correct,,
33168,23470,e1_kf,11,failure,,,,
80981,44674,e1_kf,0,failure,insight,correct,,
44674,97513,e1_kf,1,failure,insight,correct,,
97513,91461,e1_kf,2,failure,insight,correct,,
91461,62222,e1_kf,3,failure,insight,correct,,
62222,91461,e1_kf,4,failure,insight,correct,,
91461,91461,e1_kf,5,failure,insight,correct,,
91461,91461,e1_kf,6,failure,insight,correct,,
91461,91461,e1_kf,7,failure,insight,correct,,
91461,91461,e1_kf,8,failure,insight,correct,,
91461,91461,e1_kf,9,failure,insight,correct,,
91461,91461,e1_kf,10,failure,insight,correct,,
91461,82332,e1_kf,11,failure,insight,correct,,
82332,82332,e1_kf,12,failure,insight,correct,,
82332,22043,e1_kf,13,failure,,,,
53029,43163,e1_kf,0,failure,insight,correct,,
43163,74031,e1_kf,1,failure,insight,correct,,
74031,11233,e1_kf,2,failure,insight,correct,,
11233,11233,e1_kf,3,failure,insight,correct,,
11233,11233,e1_kf,4,failure,insight,correct,,
11233,11233,e1_kf,5,failure,insight,correct,,
11233,11233,e1_kf,6,failure,insight,correct,,
11233,11233,e1_kf,7,failure,insight,correct,,
11233,97198,e1_kf,8,failure,insight,correct,,
97198,94569,e1_kf,9,failure,insight,correct,,
94569,94569,e1_kf,10,failure,insight,correct,,
94569,16473,e1_kf,11,failure,insight,correct,,
16473,16473,e1_kf,12,failure,insight,correct,,
16473,21206,e1_kf,13,failure,,,,
46990,15335,e1_kf,0,failure,insight,correct,,
15335,15335,e1_kf,1,failure,insight,correct,,
15335,32805,e1_kf,2,failure,insight,correct,,
32805,93344,e1_kf,3,failure,insight,correct,,
93344,93344,e1_kf,4,failure,insight,correct,,
93344,93344,e1_kf,5,failure,insight,correct,,
93344,93344,e1_kf,6,failure,insight,correct,,
93344,93344,e1_kf,7,failure,insight,correct,,
93344,48982,e1_kf,8,failure,insight,correct,,
48982,93344,e1_kf,9,failure,insight,correct,,
93344,93344,e1_kf,10,failure,insight,correct,,
93344,86883,e1_kf,11,failure,insight,correct,,
86883,86883,e1_kf,12,failure,insight,correct,,
86883,39993,e1_kf,13,failure,,,,
79337,24265,e1_kf,0,failure,insight,correct,,
24265,63596,e1_kf,1,failure,insight,correct,,
63596,63596,e1_kf,2,failure,insight,correct,,
63596,63596,e1_kf,3,failure,insight,correct,,
63596,63596,e1_kf,4,failure,insight,correct,,
63596,63596,e1_kf,5,failure,insight,correct,,
63596,63596,e1_kf,6,failure,insight,correct,,
63596,13179,e1_kf,7,failure,insight,correct,,
13179,11887,e1_kf,8,failure,unknown-correct,correct,,
11887,76880,e1_kf,9,failure,insight,correct,,
76880,63596,e1_kf,10,failure,insight,correct,,
63596,22542,e1_kf,11,failure,insight,correct,,
22542,22542,e1_kf,12,failure,insight,correct,,
22542,34387,e1_kf,13,failure,,,,
88644,89856,e1_kf,0,failure,insight,correct,,
89856,62111,e1_kf,1,failure,insight,correct,,
62111,62111,e1_kf,2,failure,insight,correct,,
62111,62111,e1_kf,3,failure,insight,correct,,
62111,62111,e1_kf,4,failure,insight,correct,,
62111,62111,e1_kf,5,failure,insight,correct,,
62111,62111,e1_kf,6,failure,insight,correct,,
62111,77731,e1_kf,7,failure,insight,correct,,
77731,94874,e1_kf,8,failure,unknown-correct,correct,,
94874,24172,e1_kf,9,failure,unknown-correct,correct,,
24172,94983,e1_kf,10,failure,insight,correct,,
94983,62111,e1_kf,11,failure,insight,correct,,
62111,62111,e1_kf,12,failure,insight,correct,,
62111,94983,e1_kf,13,failure,insight,correct,,
94983,92777,e1_kf,14,failure,,,,
61722,35510,e1_kf,0,failure,insight,correct,,
35510,69885,e1_kf,1,failure,insight,correct,,
69885,69885,e1_kf,2,failure,insight,correct,,
69885,69885,e1_kf,3,failure,insight,correct,,
69885,48558,e1_kf,4,failure,unknown-correct,correct,,
48558,34241,e1_kf,5,failure,unknown-correct,correct,,
34241,59043,e1_kf,6,failure,unknown-incorrect,incorrect,,
59043,30169,e1_kf,7,failure,unknown-incorrect,incorrect,,
30169,97302,e1_kf,8,failure,unknown-incorrect,incorrect,,
